Prefix,Category,Notes,History_Field,Date_Onset_Field,Additional_Fields
I10,HTN,Essential (primary) hypertension,h/o__hypertension (HTN),HTN_date of onset,
I11,HTN,Hypertensive heart disease (parent),h/o__hypertension (HTN),HTN_date of onset,
I11.0,HTN,Hypertensive heart disease with heart failure,h/o__hypertension (HTN),HTN_date of onset,
I11.9,HTN,Hypertensive heart disease without heart failure,h/o__hypertension (HTN),HTN_date of onset,
I12,HTN,Hypertensive chronic kidney disease (parent),h/o__hypertension (HTN),HTN_date of onset,
I12.0,HTN,Hypertensive CKD with stage 5 CKD or ESRD,h/o__hypertension (HTN),HTN_date of onset,
I12.9,HTN,Hypertensive CKD with stage 1-4 CKD or unspecified,h/o__hypertension (HTN),HTN_date of onset,
I13,HTN,Hypertensive heart and chronic kidney disease (parent),h/o__hypertension (HTN),HTN_date of onset,
I13.0,HTN,Hypertensive heart and CKD with heart failure,h/o__hypertension (HTN),HTN_date of onset,
I13.10,HTN,Hypertensive heart and CKD without heart failure with stage 1-4 CKD,h/o__hypertension (HTN),HTN_date of onset,
I13.11,HTN,Hypertensive heart and CKD without heart failure with stage 5 CKD/ESRD,h/o__hypertension (HTN),HTN_date of onset,
I13.2,HTN,Hypertensive heart and CKD with heart failure and stage 5 CKD/ESRD,h/o__hypertension (HTN),HTN_date of onset,
I15,HTN,Secondary hypertension (parent),h/o__hypertension (HTN),HTN_date of onset,
I15.0,HTN,Renovascular hypertension,h/o__hypertension (HTN),HTN_date of onset,
I15.1,HTN,Hypertension secondary to other renal disorders,h/o__hypertension (HTN),HTN_date of onset,
I15.2,HTN,Hypertension secondary to endocrine disorders,h/o__hypertension (HTN),HTN_date of onset,
I15.8,HTN,Other secondary hypertension,h/o__hypertension (HTN),HTN_date of onset,
I15.9,HTN,Secondary hypertension unspecified,h/o__hypertension (HTN),HTN_date of onset,
I16,HTN,Hypertensive crisis (parent),h/o__hypertension (HTN),HTN_date of onset,
I16.0,HTN,Hypertensive urgency,h/o__hypertension (HTN),HTN_date of onset,
I16.1,HTN,Hypertensive emergency,h/o__hypertension (HTN),HTN_date of onset,
I16.9,HTN,Hypertensive crisis unspecified,h/o__hypertension (HTN),HTN_date of onset,
O10,HTN,Pre-existing hypertension complicating pregnancy (remote - obstetric),h/o__hypertension (HTN),HTN_date of onset,
O11,HTN,Pre-existing hypertension with pre-eclampsia (remote - obstetric),h/o__hypertension (HTN),HTN_date of onset,
O13,HTN,Gestational hypertension without significant proteinuria (remote - obstetric),h/o__hypertension (HTN),HTN_date of onset,
O14,HTN,Pre-eclampsia (remote - obstetric),h/o__hypertension (HTN),HTN_date of onset,
O16,HTN,Unspecified maternal hypertension (remote - obstetric),h/o__hypertension (HTN),HTN_date of onset,
I50,CHF,Heart failure (parent),h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.1,CHF,Left ventricular failure unspecified,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.20,CHF,Unspecified systolic (congestive) heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.21,CHF,Acute systolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.22,CHF,Chronic systolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.23,CHF,Acute on chronic systolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.30,CHF,Unspecified diastolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.31,CHF,Acute diastolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.32,CHF,Chronic diastolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.33,CHF,Acute on chronic diastolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.40,CHF,Unspecified combined systolic/diastolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.41,CHF,Acute combined systolic/diastolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.42,CHF,Chronic combined systolic/diastolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.43,CHF,Acute on chronic combined systolic/diastolic heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.810,CHF,Right heart failure unspecified,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.811,CHF,Acute right heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.812,CHF,Chronic right heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.813,CHF,Acute on chronic right heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.814,CHF,Right heart failure due to left heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.82,CHF,Biventricular heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.83,CHF,High output heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.84,CHF,End stage heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.89,CHF,Other heart failure,h/o__Congestive heart failure (CHF),CHF_date of onset,
I50.9,CHF,Heart failure unspecified,h/o__Congestive heart failure (CHF),CHF_date of onset,
I97.130,CHF,Postprocedural heart failure following cardiac surgery (remote),h/o__Congestive heart failure (CHF),CHF_date of onset,
I09.81,CHF,Rheumatic heart failure (remote),h/o__Congestive heart failure (CHF),CHF_date of onset,
I42,CM,Cardiomyopathy (parent),h/o__Cardiomyopathy (CM),CM_date of onset,
I42.0,CM,Dilated cardiomyopathy,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.1,CM,Obstructive hypertrophic cardiomyopathy,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.2,CM,Other hypertrophic cardiomyopathy,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.3,CM,Endomyocardial (eosinophilic) disease,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.4,CM,Endocardial fibroelastosis,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.5,CM,Other restrictive cardiomyopathy,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.6,CM,Alcoholic cardiomyopathy,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.7,CM,Cardiomyopathy due to drug/external agent,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.8,CM,Other cardiomyopathies,h/o__Cardiomyopathy (CM),CM_date of onset,
I42.9,CM,Cardiomyopathy unspecified,h/o__Cardiomyopathy (CM),CM_date of onset,
I43,CM,Cardiomyopathy in diseases classified elsewhere,h/o__Cardiomyopathy (CM),CM_date of onset,
I25.5,CM,Ischemic cardiomyopathy,h/o__Cardiomyopathy (CM),CM_date of onset,
I21,MI,Acute myocardial infarction (parent),h/o__Myocardial Infarction (MI),MI_date of onset,
I21.01,MI,STEMI involving left main coronary artery,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.02,MI,STEMI involving left anterior descending,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.09,MI,STEMI involving other coronary artery of anterior wall,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.11,MI,STEMI involving right coronary artery,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.19,MI,STEMI involving other coronary artery of inferior wall,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.21,MI,STEMI involving left circumflex coronary artery,h/o__Myocardial Infarction (MI),MI_date of onset,
I21.29,MI,STEMI of other sites,h/o__Myocardial Infarction (MI),MI_date of onset,
